player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Calais Campbell,4364,DI,ARZ,17,2,0,1,0,,,1.4,,,0,0,,63.4,0,,33.3,1,0,0.0,0,1,50.0,73,1,2,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,63.6,0,,40.0,2,0,0.0,0,0,0.0,217,6,2,0,0,0,0,,
Jason Pierre-Paul,5540,ED,TB,3,3,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,20.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,100.0,15,0,0,0,0,0,0,0.0,
Von Miller,6154,ED,WAS,17,12,0,32,0,,,4.0,,,0,0,,65.0,0,,0.0,0,0,0.0,0,3,25.0,75,1,1,0,0,0,0,0.0,,0,1,0.5,100.0,4.6,3.5,3.5,0,0,0.0,40.8,0,6,25.0,1,0,79.2,2,8,66.7,175,5,2,2,0,6,5,0.9,3.0
Cameron Jordan,6176,ED,NO,17,18,0,20,0,,,1.9,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,5.6,54,3,1,0,0,0,0,0.0,,0,1,0.7,100.0,5.8,4.7,4.7,0,0,0.0,71.0,0,12,25.0,2,0,95.8,3,14,77.8,242,10,5,3,0,21,19,1.5,7.0
Cameron Heyward,6183,DI,PIT,18,6,0,25,0,,,1.6,,,0,0,,61.3,0,,50.0,1,0,0.0,0,3,50.0,185,2,1,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,67.4,0,,0.0,0,0,0.0,0,0,0.0,300,6,4,0,0,0,0,,
Bobby Wagner,7050,LB,WAS,17,588,0,32,0,1.2,80.0,78.6,28.0,22.4,0,0,0.0,71.8,0,24,0.0,0,0,110.0,4,125,21.3,159,1,4,5,0,52,58,0.5,13.0,0,8,4.4,75.6,90.5,11.2,8.4,0,0,0.0,40.3,1,69,8.3,3,0,121.4,31,360,61.2,398,15,25,41,3,414,295,1.2,13.4
Lavonte David,7060,LB,TB,17,576,0,30,1,3.8,72.7,74.1,13.4,9.7,1,1,9.1,72.9,0,10,37.5,3,1,120.8,8,117,20.3,158,2,4,11,2,49,49,0.5,6.1,0,9,5.9,89.8,89.1,8.7,7.8,0,1,2.0,44.9,1,24,18.2,10,1,108.6,44,399,69.3,448,18,36,49,2,433,228,1.1,9.8
Demario Davis,7079,LB,NO,17,517,0,20,1,-2.5,100.0,77.2,18.0,18.0,0,0,0.0,82.7,0,14,0.0,0,0,121.9,4,78,15.1,101,2,3,4,1,15,32,0.2,3.8,0,5,2.4,97.2,89.2,9.8,9.5,0,2,5.6,65.9,0,22,18.4,7,2,100.7,35,356,68.9,399,13,26,36,0,294,212,0.9,8.4
Harrison Smith,7641,S,MIN,15,388,0,18,0,-0.7,66.7,66.3,25.5,17.0,0,0,0.0,66.3,0,10,20.0,1,0,75.7,2,57,14.7,86,3,4,3,0,13,16,0.3,6.5,0,2,9.6,71.4,94.6,16.9,12.0,1,3,14.3,68.8,2,30,20.0,5,3,57.1,15,265,68.3,280,6,18,21,0,177,82,0.7,11.8
Darius Slay,7817,CB,PIT,10,329,0,25,1,12.8,66.7,100.0,8.4,5.6,0,3,14.3,52.6,0,33,9.1,1,1,130.6,14,128,38.9,128,2,9,21,3,168,60,1.4,12.0,0,2,5.5,73.3,100.0,14.9,10.9,1,2,13.3,73.9,0,17,11.8,2,2,83.8,11,172,52.3,172,3,13,15,0,74,33,0.5,6.7
John Jenkins,7863,DI,BLT,17,3,0,3,0,,,2.6,,,0,0,,60.0,0,,,0,0,0.0,0,2,66.7,77,0,0,0,0,0,0,0.0,,0,0,,,0.7,,,0,0,,59.5,0,,,0,0,0.0,0,1,33.3,142,0,0,0,0,0,0,0.0,
Jordan Poyer,8000,S,BUF,11,222,0,4,0,10.0,40.0,95.9,20.5,8.2,0,2,40.0,65.8,0,6,16.7,1,2,47.9,2,47,21.2,49,1,5,5,0,11,11,0.3,5.5,0,1,4.8,100.0,98.1,16.7,16.7,0,0,0.0,59.8,1,20,14.3,2,0,111.1,6,106,47.7,108,2,11,6,1,64,41,0.6,10.7
Tony Jefferson,8361,S,LAC,14,346,0,27,0,,,93.9,,,0,0,,65.7,0,,0.0,0,0,0.0,0,46,13.3,49,1,3,0,0,0,0,0.0,,0,5,9.8,69.2,97.4,24.2,16.8,0,1,7.7,69.2,4,20,10.3,3,1,40.1,9,229,66.2,235,6,21,13,0,62,43,0.3,6.9
Jadeveon Clowney,8636,ED,DAL,13,4,0,9,0,,,5.0,,,0,0,,55.4,0,,100.0,1,0,0.0,0,3,75.0,60,4,0,0,0,0,0,0.0,,0,0,,,0.7,,,0,0,,67.9,0,,66.7,2,0,0.0,0,1,25.0,151,5,1,0,0,0,0,0.0,
Khalil Mack,8640,ED,LAC,13,15,0,27,0,,,4.3,,,0,0,,37.9,0,,100.0,1,0,0.0,0,3,20.0,69,0,0,0,0,0,0,0.0,,0,0,2.5,100.0,4.0,3.5,3.5,0,0,0.0,83.4,0,3,20.0,1,0,79.2,2,7,46.7,175,8,4,2,0,6,1,0.9,3.0
DeMarcus Lawrence,8669,ED,SEA,18,13,0,29,0,,,3.2,,,0,0,,75.9,0,,50.0,1,0,0.0,0,3,23.1,95,2,1,0,0,0,0,0.0,,0,0,,,2.4,,,0,0,,62.9,0,,61.5,8,0,0.0,0,6,46.2,255,6,5,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,BLT,15,50,0,3,0,10.0,0.0,17.0,,10.5,0,1,50.0,88.3,1,,0.0,0,1,0.0,0,23,46.0,135,1,1,2,0,0,0,0.0,,0,0,4.7,66.7,13.5,12.0,8.0,0,0,0.0,62.4,0,13,25.0,1,0,88.2,2,25,50.0,185,4,3,3,0,22,11,0.9,11.0
Brent Urban,8769,DI,BLT,15,4,0,3,0,,,8.9,,,0,0,,59.9,0,,,0,0,0.0,0,4,100.0,45,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,71,2,1,0,0,0,0,,
Shelby Harris,8869,DI,CLV,17,1,0,8,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,92,0,0,0,0,0,0,,,0,0,,,0.7,,,0,0,,62.6,0,,0.0,0,0,0.0,0,1,100.0,149,2,3,0,0,0,0,0.0,
Mike Pennel,9316,DI,KC,16,1,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,19,0,0,0,0,0,0,,,0,1,,,1.1,,,0,0,,66.5,0,,0.0,0,0,0.0,0,1,100.0,93,0,1,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,DAL,17,9,0,9,0,,,3.9,,,0,0,,60.3,0,,,0,0,0.0,0,2,22.2,51,1,0,0,0,0,0,0.0,,0,0,9.5,50.0,3.8,7.0,3.5,0,1,50.0,63.9,0,18,33.3,1,1,81.3,1,7,77.8,182,3,2,2,0,18,10,2.6,18.0
Leonard Williams,9439,DI,SEA,19,16,0,29,1,,,7.6,,,0,0,,66.5,0,,20.0,1,0,0.0,0,10,62.5,131,3,3,0,0,0,0,0.0,,0,2,-8.0,100.0,0.9,3.0,3.0,0,0,0.0,62.4,0,-1,25.0,3,0,79.2,1,3,18.8,335,10,7,1,0,-1,7,-0.3,-1.0
Arik Armstead,9450,DI,JAX,17,12,0,15,0,,,6.4,,,0,0,,55.1,0,,,0,0,0.0,0,7,58.3,109,0,0,0,0,0,0,0.0,,0,0,,,1.5,,,0,0,,58.8,0,,75.0,3,0,0.0,0,4,33.3,269,3,1,0,0,0,0,0.0,
Bud Dupree,9455,ED,LAC,16,35,0,27,0,,,12.5,,,0,0,,64.1,0,,0.0,0,0,0.0,0,4,11.4,32,1,1,0,0,0,0,0.0,,0,1,5.3,75.0,15.9,9.0,6.8,0,0,0.0,56.1,0,19,25.0,1,0,99.0,3,28,80.0,176,2,2,4,0,33,23,1.2,11.0
Shaq Thompson,9458,LB,BUF,13,278,0,4,0,2.0,100.0,72.9,13.8,13.8,1,1,25.0,66.2,0,16,50.0,2,1,142.7,4,62,22.3,85,1,2,4,1,35,27,0.6,8.8,0,2,4.5,76.7,90.2,6.3,4.8,0,1,3.3,68.0,1,24,22.2,6,1,76.9,23,147,52.9,163,7,19,30,0,179,138,1.2,7.8
Eric Kendricks,9478,LB,SF,4,64,0,28,0,,,50.0,,,0,0,,66.5,0,,,0,0,0.0,0,11,17.2,22,0,0,0,0,0,0,0.0,,0,1,3.3,100.0,98.0,5.2,5.2,0,1,11.1,56.4,0,19,0.0,0,1,103.2,9,49,76.6,50,3,9,9,0,79,49,1.7,8.8
Denzel Perryman,9481,LB,LAC,11,167,0,27,0,-7.0,100.0,50.0,3.0,3.0,0,0,0.0,43.9,0,8,100.0,1,0,100.0,1,5,3.0,10,0,0,1,0,8,15,2.7,8.0,0,2,3.2,78.6,99.2,11.1,8.7,3,3,21.4,56.3,0,26,16.7,2,3,101.2,11,125,74.9,126,3,8,14,0,116,84,1.0,10.5
Danielle Hunter,9521,ED,HST,19,3,0,13,0,,,0.8,,,0,0,,55.8,0,,100.0,2,0,0.0,0,1,33.3,132,7,0,0,0,0,0,0.0,,0,0,10.0,100.0,0.6,2.0,2.0,0,0,0.0,56.4,0,10,0.0,0,0,108.3,1,2,66.7,319,8,1,1,0,10,0,5.0,10.0
