player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Coleman Shelton,39316,C,LA,20,100.0,1,26,70.9,53.1,77.2,4,18,751,100.0,100.0,98.3,4,24,2,1334,1334,0,0,1334,797,797,0,0,537,0
Drew Dalman,52270,C,CHI,19,100.0,0,6,72.6,67.3,74.0,3,27,744,100.0,100.0,97.8,4,31,1,1313,1313,0,0,1313,789,789,0,0,524,0
Joe Thuney,10712,G,CHI,19,100.0,0,6,77.8,87.7,68.6,2,20,743,100.0,100.0,98.5,2,22,0,1308,0,1227,80,1308,788,788,0,0,520,1
Jonah Jackson,37070,G,CHI,19,100.0,1,6,72.3,65.8,72.3,2,30,730,100.0,100.0,97.4,5,35,3,1292,0,0,0,1292,772,772,1292,0,520,0
Mike Onwenu,27357,G,NE,20,100.0,0,19,76.8,78.9,71.6,1,20,712,100.0,100.0,98.2,3,23,2,1273,0,0,0,1273,751,751,1273,0,522,0
O'Cyrus Torrence,102821,G,BUF,19,100.0,1,4,59.5,64.4,53.7,1,32,678,100.0,100.0,97.1,2,36,3,1270,0,0,1,1270,716,716,1267,2,554,0
Alaric Jackson,40972,T,LA,19,100.0,1,26,84.2,75.8,86.1,10,29,709,100.0,100.0,96.7,5,43,4,1265,0,0,1265,1265,752,752,0,0,513,0
Garrett Bradbury,46013,C,NE,20,100.0,0,19,60.8,66.3,55.6,4,18,707,100.0,100.0,98.3,0,23,1,1263,1263,0,0,1263,745,745,0,0,518,0
Mike McGlinchey,46275,T,DEN,19,100.0,0,10,78.1,69.9,81.7,7,33,765,100.0,100.0,97.1,6,42,2,1259,0,0,0,1259,806,806,0,1250,453,9
Garett Bolles,11775,T,DEN,19,99.9,1,10,90.4,91.0,82.3,6,17,762,99.9,99.9,98.5,7,23,0,1255,0,1,1245,1256,803,804,0,0,452,9
Quinn Meinerz,112915,G,DEN,19,100.0,2,10,88.9,69.0,91.1,5,24,757,100.0,100.0,97.7,3,32,3,1239,0,0,0,1239,798,798,1239,0,441,0
Jake Andrews,81868,C,HST,18,100.0,1,13,60.6,62.4,60.0,4,14,692,100.0,100.0,98.6,6,19,1,1236,1236,0,0,1236,745,745,0,0,491,0
Colton McKivitz,29314,T,SF,19,100.0,0,28,84.2,72.6,90.4,8,26,704,100.0,100.0,97.0,5,38,4,1235,0,0,0,1235,740,740,1,1234,495,0
Dominick Puni,163815,G,SF,19,100.0,0,28,69.2,63.3,67.9,1,33,703,100.0,100.0,97.3,4,36,2,1235,0,0,0,1235,739,739,1228,7,496,0
Darnell Wright,98480,T,CHI,18,100.0,0,6,80.8,74.6,82.8,3,18,698,100.0,100.0,98.1,11,24,3,1233,0,0,0,1233,740,740,0,1231,493,2
Aireontae Ersery,129649,T,HST,18,100.0,4,13,58.5,65.4,50.9,11,30,699,100.0,100.0,95.9,13,49,8,1225,0,0,1166,1225,753,753,0,59,472,0
Morgan Moses,8701,T,NE,20,100.0,1,19,76.2,70.6,79.5,5,24,687,100.0,100.0,97.6,8,31,2,1223,0,0,0,1223,724,724,0,1223,499,0
Abraham Lucas,60218,T,SEA,19,100.0,1,29,78.5,71.2,81.2,2,28,584,100.0,100.0,96.7,5,34,4,1180,0,0,0,1180,623,623,0,1180,557,0
David Edwards,35941,G,BUF,18,100.0,0,4,70.3,75.0,66.3,1,27,643,100.0,100.0,97.2,3,32,4,1176,0,1176,0,1176,679,679,0,0,497,0
Grey Zabel,125314,G,SEA,19,100.0,1,29,60.4,60.3,59.3,5,21,576,100.0,100.0,97.4,6,28,2,1170,0,1170,0,1170,614,614,0,0,556,0
Connor McGovern,41714,C,BUF,18,100.0,1,4,70.9,70.8,68.6,3,15,634,100.0,100.0,98.6,5,18,0,1166,1166,0,0,1166,670,670,0,0,496,0
Terence Steele,39461,T,DAL,17,100.0,3,9,63.6,54.9,70.2,9,37,664,100.0,100.0,95.6,7,52,6,1163,0,0,0,1163,722,722,0,1162,441,0
Tytus Howard,25472,T,HST,18,100.0,3,13,62.3,76.7,49.5,1,25,643,100.0,100.0,98.0,9,26,0,1162,0,402,0,1162,696,696,132,628,466,0
Greg Van Roten,7746,G,NYG,17,100.0,0,21,65.3,70.1,61.2,1,22,625,100.0,100.0,97.7,3,26,3,1151,0,0,1,1151,678,678,1146,3,473,0
Anthony Bradford,99103,G,SEA,19,100.0,0,29,48.8,35.9,54.1,6,25,582,100.0,100.0,96.6,5,35,4,1151,0,0,0,1151,621,621,1151,0,530,0
Graham Barton,122367,C,TB,17,100.0,4,30,61.0,52.9,65.1,4,27,647,100.0,100.0,96.8,9,36,5,1135,925,0,209,1135,701,701,0,0,434,1
Zion Johnson,99681,G,LAC,17,100.0,1,27,56.5,60.1,52.8,7,17,676,100.0,100.0,97.5,4,29,5,1131,0,1130,0,1131,708,708,1,0,423,0
Hjalte Froholdt,44959,C,ARZ,17,100.0,2,1,69.4,72.0,66.8,2,17,740,100.0,100.0,98.6,5,20,1,1121,1121,0,0,1121,788,788,0,0,333,0
Bradley Bozeman,27934,C,LAC,17,100.0,1,27,49.8,45.6,50.0,6,27,667,100.0,100.0,97.1,2,36,3,1118,1118,0,0,1118,699,699,0,0,419,0
Trent Williams,5529,T,SF,18,100.0,0,28,91.1,80.3,92.0,10,26,635,100.0,100.0,96.5,4,40,4,1112,0,0,1112,1112,668,668,0,0,444,0
Ted Karras,10855,C,CIN,17,100.0,0,7,63.1,70.7,59.4,2,16,691,100.0,100.0,98.6,6,19,1,1110,1110,0,0,1110,733,733,0,0,377,0
Orlando Brown Jr.,46227,T,CIN,17,100.0,0,7,60.6,62.6,59.8,10,27,691,100.0,100.0,96.0,10,46,9,1110,0,0,1108,1110,733,733,0,0,377,2
Ezra Cleveland,41973,G,JAX,17,100.0,2,15,69.7,71.4,66.1,3,19,645,100.0,100.0,97.7,3,26,4,1110,0,1110,0,1110,684,684,0,0,426,0
Tyler Smith,98385,G,DAL,16,100.0,3,9,73.5,65.4,81.1,0,23,641,100.0,100.0,97.7,11,26,3,1110,0,906,203,1110,700,700,0,0,410,0
Dion Dawkins,11818,T,BUF,17,100.0,0,4,71.6,79.1,62.4,2,33,613,100.0,100.0,96.0,10,42,7,1098,0,0,1098,1098,649,649,0,0,449,0
Elijah Wilkinson,46238,T,ATL,17,100.0,1,2,62.9,61.0,68.3,9,31,589,100.0,100.0,95.6,12,46,6,1096,0,0,0,1096,627,627,0,1096,469,0
Ryan Neuzil,41123,C,ATL,17,100.0,1,2,77.4,59.3,82.1,4,9,589,100.0,100.0,98.7,4,14,1,1096,1096,0,0,1096,627,627,0,0,469,0
Jon Runyan,36661,G,NYG,16,100.0,2,21,52.9,60.6,49.2,5,24,606,100.0,100.0,97.3,6,31,2,1095,0,1088,3,1095,653,653,0,3,442,0
Creed Humphrey,59996,C,KC,17,100.0,1,16,88.8,84.1,88.5,2,5,692,100.0,100.0,99.3,2,8,1,1093,1093,0,0,1093,742,742,0,0,351,0
Kingsley Suamataia,146558,G,KC,17,100.0,1,16,65.1,65.7,63.7,8,24,676,100.0,100.0,97.2,6,35,3,1090,0,1089,1,1090,724,724,0,0,366,0
Mason McCormick,78326,G,PIT,18,100.0,0,25,72.9,72.3,68.7,2,20,634,100.0,100.0,97.5,1,27,5,1088,0,0,0,1088,673,673,1088,0,415,0
Tate Ratledge,124034,G,DET,17,100.0,1,11,70.3,58.5,73.5,9,13,620,100.0,100.0,97.9,7,24,2,1088,0,0,0,1088,648,648,1087,0,440,1
Jermaine Eluemunor,11914,T,NYG,16,100.0,2,21,63.8,76.7,55.1,3,12,585,100.0,100.0,98.0,14,19,4,1088,0,0,2,1088,638,638,1,1083,450,2
Troy Fautanu,100521,T,PIT,18,100.0,1,25,67.0,69.4,58.3,5,23,634,100.0,100.0,97.3,3,31,3,1088,0,0,0,1088,673,673,0,1086,415,2
Chris Lindstrom,46692,G,ATL,17,100.0,1,2,88.4,62.3,91.7,8,35,585,100.0,100.0,96.2,6,44,1,1086,0,0,0,1086,623,623,1086,0,463,0
Zach Frazier,123419,C,PIT,18,100.0,1,25,73.8,75.8,71.4,3,7,634,100.0,100.0,99.1,4,11,1,1085,1085,0,0,1085,673,673,0,0,412,0
Joel Bitonio,8670,G,CLV,17,100.0,0,8,70.7,75.7,64.4,1,28,642,100.0,100.0,97.4,1,31,2,1081,0,1079,0,1081,686,686,1,0,395,0
Tyler Steen,81921,G,PHI,18,100.0,1,24,73.4,75.4,73.0,1,34,591,100.0,100.0,96.7,9,37,2,1080,0,0,0,1080,626,626,1080,0,454,0
Ed Ingram,59819,G,HST,16,100.0,0,13,73.8,52.4,79.9,4,21,587,100.0,100.0,97.0,3,30,5,1072,0,0,0,1072,635,635,1072,0,437,0
Jake Brendel,11117,C,SF,17,100.0,1,28,71.4,62.5,74.0,5,22,618,100.0,100.0,97.8,4,27,0,1066,1066,0,0,1066,652,652,0,0,414,0
Kelvin Banks Jr.,163839,T,NO,17,99.9,2,20,73.3,70.0,76.2,7,34,636,99.8,99.9,96.0,11,46,5,1065,0,0,1055,1066,680,681,0,0,385,9
Luke Wattenberg,41024,C,DEN,16,100.0,2,10,69.7,71.0,72.3,3,12,640,100.0,100.0,98.8,8,15,0,1064,1064,0,0,1064,678,678,0,0,386,0
Jake Matthews,8641,T,ATL,17,99.9,0,2,69.7,82.4,54.7,9,24,572,99.8,99.8,96.1,8,39,6,1061,0,0,1060,1062,609,610,0,0,452,2
Rasheed Walker,81798,T,GB,17,100.0,2,12,63.0,69.3,53.7,3,32,588,100.0,100.0,96.2,11,40,5,1057,0,0,1057,1057,621,621,0,0,436,0
Peter Skoronski,129737,G,TEN,17,100.0,1,31,79.0,84.5,73.2,1,20,651,100.0,100.0,98.1,5,23,2,1055,0,1054,1,1055,694,694,0,0,361,0
Josh Conerly Jr.,163291,T,WAS,17,100.0,4,32,59.9,57.8,63.4,3,32,565,100.0,100.0,95.5,13,43,8,1054,0,0,6,1054,624,624,0,1048,430,0
Damien Lewis,81532,G,CAR,17,100.0,1,5,77.7,79.3,75.2,3,12,595,100.0,100.0,98.6,6,16,1,1054,0,1054,0,1054,638,638,0,0,416,0
Amarius Mims,146719,T,CIN,17,100.0,1,7,67.6,66.6,64.8,4,27,654,100.0,100.0,97.0,4,35,4,1050,0,0,0,1050,694,694,0,1049,356,1
Steve Avila,77319,G,LA,16,100.0,1,26,75.0,69.7,72.3,6,11,576,100.0,100.0,98.2,2,19,2,1050,0,1050,0,1050,609,609,0,0,441,0
Josh Myers,59992,C,NYJ,17,100.0,1,22,52.9,62.9,51.7,4,21,608,100.0,100.0,97.5,7,28,3,1046,1045,0,0,1046,640,640,0,0,406,0
Armand Membou,125008,T,NYJ,17,100.0,3,22,72.7,73.8,72.1,1,24,607,100.0,100.0,96.6,11,33,8,1045,0,0,0,1045,639,639,0,1042,406,2
Joe Tippmann,101568,G,NYJ,17,100.0,0,22,66.0,69.0,66.7,5,18,607,100.0,100.0,97.1,7,29,6,1045,0,0,0,1045,639,639,1044,0,406,0
Jordan Mailata,66916,T,PHI,17,99.9,1,24,87.7,82.3,85.8,4,22,566,99.8,99.8,97.3,7,28,2,1044,0,0,1033,1045,601,602,0,0,443,12
Quenton Nelson,12954,G,IND,17,100.0,0,14,84.5,73.2,84.3,2,12,593,100.0,100.0,98.7,2,15,1,1039,0,1039,0,1039,637,637,0,0,402,0
Olumuyiwa Fashanu,129777,T,NYJ,17,100.0,1,22,69.2,74.5,57.1,5,28,604,100.0,100.0,96.3,3,39,6,1038,0,0,1036,1038,634,634,0,0,404,1
Anton Harrison,122929,T,JAX,16,100.0,0,15,73.2,76.7,65.6,3,31,604,100.0,100.0,97.0,7,35,1,1027,0,0,0,1027,643,643,0,1026,384,1
Kevin Dotson,46735,G,LA,17,100.0,0,26,87.3,66.8,90.3,4,15,573,100.0,100.0,97.8,2,22,3,1024,0,0,0,1024,608,608,1024,0,416,0
Walker Little,52287,T,JAX,16,100.0,2,15,60.7,63.5,61.9,6,35,579,100.0,100.0,94.9,12,50,9,1023,0,0,841,1023,620,620,181,0,403,1
John Simpson,41715,G,NYJ,17,100.0,0,22,56.9,62.0,56.7,5,19,587,100.0,100.0,97.1,10,29,5,1014,0,1013,0,1014,618,618,0,0,396,0
Roger Rosengarten,131912,T,BLT,17,100.0,1,3,74.2,73.4,74.2,4,21,501,100.0,100.0,96.9,6,28,3,1014,0,0,4,1014,536,536,0,1010,478,0
Daniel Faalele,81734,G,BLT,17,100.0,2,3,56.8,60.1,53.5,3,23,500,100.0,100.0,96.6,5,30,4,1011,0,0,0,1011,535,535,1011,0,476,0
Matt Goncalves,99680,G,IND,16,100.0,0,14,66.3,62.7,66.5,10,22,564,100.0,100.0,96.8,5,34,2,1008,0,0,0,1008,603,603,949,59,405,0
Tyler Linderbaum,82291,C,BLT,17,100.0,2,3,80.3,63.4,83.7,1,23,501,100.0,100.0,97.2,5,26,2,1007,1007,0,0,1007,536,536,0,0,471,0
Robert Hainsey,59980,C,JAX,16,100.0,0,15,61.0,55.8,66.1,3,21,571,100.0,100.0,97.4,6,27,3,1006,1006,0,0,1006,613,613,0,0,393,0
Tyler Booker,157001,G,DAL,14,100.0,1,9,72.0,62.4,76.8,7,15,575,100.0,100.0,97.6,7,25,3,1003,0,0,0,1003,631,631,1002,0,372,0
Penei Sewell,81788,T,DET,16,100.0,0,11,95.2,80.3,96.8,6,11,573,100.0,100.0,98.2,2,19,2,998,0,0,3,998,601,601,1,988,397,6
DJ Glaze,129511,T,LV,17,100.0,2,23,60.6,63.3,54.9,6,32,600,100.0,100.0,95.2,5,48,10,992,0,0,0,992,639,639,0,992,353,0
Will Fries,41530,G,MIN,17,100.0,0,18,61.8,62.9,60.2,4,30,574,100.0,100.0,96.5,3,37,3,989,0,0,0,989,612,612,989,0,377,0
Spencer Brown,42296,T,BUF,16,100.0,0,4,76.7,61.7,85.1,5,33,546,100.0,100.0,96.0,4,41,3,987,0,0,5,987,578,578,3,979,409,0
Bernhard Raimann,77948,T,IND,16,99.9,2,14,82.0,78.9,78.7,2,21,549,99.8,99.8,96.4,8,31,8,985,0,0,985,986,590,591,0,0,395,1
Jonah Savaiinaea,158742,G,MIA,17,100.0,1,17,28.4,14.1,37.3,5,32,549,100.0,100.0,95.2,5,45,8,982,0,982,0,982,579,579,0,0,403,0
Jared Wilson,146717,G,NE,16,100.0,0,19,52.7,62.1,46.7,7,24,562,100.0,100.0,96.2,3,37,6,977,0,976,0,977,589,589,1,0,388,0
Patrick Paul,101019,T,MIA,17,100.0,2,17,66.2,74.4,58.5,2,19,548,100.0,100.0,97.4,9,25,4,975,0,0,975,975,578,578,0,0,397,0
Will Campbell,157106,T,NE,16,100.0,1,19,69.5,69.2,69.1,6,23,551,100.0,100.0,95.9,8,37,8,975,0,1,972,975,579,579,0,0,396,2
Andrew Vorhees,60818,G,BLT,17,100.0,0,3,54.6,53.1,54.3,8,17,479,100.0,100.0,96.8,3,28,3,969,0,969,0,969,513,513,0,0,456,0
Taylor Moton,11819,T,CAR,16,100.0,0,5,81.0,78.0,80.6,4,16,565,100.0,100.0,97.7,5,23,3,968,0,0,0,968,605,605,0,968,363,0
Dylan Fairchild,146716,G,CIN,15,100.0,0,7,59.1,67.5,54.3,5,24,595,100.0,100.0,97.2,6,31,2,961,0,961,0,961,629,629,0,0,332,0
Tyler Biadasz,41178,C,WAS,16,100.0,0,32,70.7,67.1,71.2,0,18,521,100.0,100.0,97.7,3,21,3,954,954,0,0,954,571,571,0,0,383,0
Ikem Ekwonu,98286,T,CAR,16,100.0,3,5,70.1,66.4,70.3,6,29,518,100.0,100.0,95.7,8,40,5,950,0,0,950,950,556,556,0,0,394,0
Dan Moore Jr.,60120,T,TEN,16,99.9,4,31,61.9,62.5,59.1,7,33,585,99.8,99.8,95.2,7,48,8,947,0,0,945,948,620,621,0,0,327,3
Tanor Bortolini,129915,C,IND,16,100.0,0,14,82.6,66.2,88.2,5,12,526,100.0,100.0,98.4,4,17,0,937,937,0,0,937,566,566,0,0,371,0
Chris Paul,77579,G,WAS,16,100.0,0,32,49.8,78.2,38.2,2,13,485,100.0,100.0,98.0,2,17,2,926,0,926,0,926,535,535,0,0,391,0
Charles Cross,98401,T,SEA,16,100.0,1,29,76.3,79.1,69.6,4,21,477,100.0,100.0,97.0,5,27,2,924,0,0,923,924,508,508,0,0,416,1
Lloyd Cushenberry III,41924,C,TEN,15,100.0,1,31,55.2,65.5,51.2,4,15,570,100.0,100.0,97.3,5,25,6,921,921,0,0,921,608,608,0,0,313,0
Patrick Mekari,46219,G,JAX,15,100.0,1,15,51.8,52.9,53.9,3,29,526,100.0,100.0,96.6,8,34,2,913,0,0,0,913,561,561,913,0,352,0
Aaron Brewer,46014,C,MIA,16,100.0,3,17,87.4,71.2,91.5,1,10,520,100.0,100.0,98.7,9,12,1,912,912,0,0,912,549,549,0,0,363,0
Matthew Bergeron,99658,G,ATL,15,100.0,0,2,70.8,65.7,71.3,7,20,490,100.0,100.0,97.0,3,28,1,912,0,912,0,912,519,519,0,0,393,0
Kevin Zeitler,7032,G,TEN,16,100.0,0,31,74.5,75.4,70.8,2,10,553,100.0,100.0,98.2,4,16,4,909,0,0,0,909,590,590,909,0,319,0
Landon Dickerson,41712,G,PHI,16,100.0,0,24,67.8,62.0,68.2,7,21,478,100.0,100.0,96.0,5,33,5,908,0,908,0,908,506,506,0,0,402,0
Taylor Decker,10650,T,DET,14,100.0,1,11,67.9,69.5,62.1,3,28,525,100.0,100.0,96.7,5,33,2,894,0,0,889,894,551,551,0,4,343,1
Warren McClendon Jr.,99081,T,LA,13,100.0,0,26,78.7,69.1,81.9,3,18,508,100.0,100.0,97.5,1,23,2,882,0,0,0,882,542,542,0,882,340,0
Sean Rhyan,72009,C,GB,16,100.0,1,12,59.2,42.4,65.6,8,20,480,100.0,100.0,96.9,5,29,1,876,524,56,0,876,508,508,295,1,368,0
Cam Jurgens,84014,C,PHI,15,100.0,2,24,66.0,62.1,68.2,1,10,491,100.0,100.0,98.9,6,11,0,873,873,0,0,873,522,522,0,0,351,0
Graham Glasgow,10729,C,DET,14,100.0,0,11,56.8,61.3,54.3,8,10,495,100.0,100.0,98.0,2,19,1,873,873,0,0,873,517,517,0,0,356,0
Ronnie Stanley,10640,T,BLT,16,100.0,2,3,70.9,72.8,68.1,4,20,416,100.0,100.0,96.2,7,28,4,857,0,0,846,857,447,447,0,0,410,9
Cesar Ruiz,59857,G,NO,14,100.0,0,20,55.1,73.1,44.7,2,14,508,100.0,100.0,97.8,4,19,3,856,0,0,0,856,546,546,856,0,310,0
Jalen Sundell,91396,C,SEA,15,100.0,1,29,64.9,65.3,64.4,3,12,436,100.0,100.0,98.1,5,16,1,848,848,0,0,848,468,468,0,0,380,0
Dylan Parham,60953,G,LV,15,100.0,0,23,63.6,62.3,63.1,5,17,517,100.0,100.0,96.7,5,28,6,843,0,843,0,843,552,552,0,0,291,0
Isaac Seumalo,10713,G,PIT,15,100.0,0,25,73.3,76.4,67.1,4,12,476,100.0,100.0,97.5,0,20,4,827,0,827,0,827,504,504,0,0,323,0
Ethan Pocic,11813,C,CLV,13,100.0,0,8,63.8,62.2,63.2,3,9,481,100.0,100.0,98.3,2,14,2,826,826,0,0,826,518,518,0,0,308,0
Jordan Morgan,98652,G,GB,15,100.0,0,12,62.0,68.8,58.9,2,19,445,100.0,100.0,96.7,5,25,4,819,0,191,51,819,473,473,358,219,346,0
Aaron Banks,59983,G,GB,15,100.0,0,12,55.6,54.2,56.3,3,24,460,100.0,100.0,96.6,4,29,2,817,0,812,0,817,484,484,2,3,333,0
Taliese Fuaga,131732,T,NO,13,100.0,2,20,64.5,66.2,63.5,5,19,494,100.0,100.0,96.8,7,28,4,814,0,0,0,814,530,530,0,812,284,2
Cole Strange,22976,G,MIA,14,100.0,0,17,54.9,42.2,57.0,3,16,435,100.0,100.0,97.4,1,21,2,808,0,0,0,808,457,457,808,0,351,0
Paris Johnson Jr.,129749,T,ARZ,12,100.0,1,1,76.6,77.1,72.9,8,21,527,100.0,100.0,96.3,7,34,5,807,0,0,803,807,565,565,0,0,242,4
Andrew Thomas,59701,T,NYG,13,100.0,1,21,90.3,87.2,84.6,2,10,415,100.0,100.0,98.3,3,13,1,802,0,3,794,802,448,448,0,0,354,5
Laremy Tunsil,10647,T,WAS,14,100.0,3,32,84.7,88.9,75.3,2,11,444,100.0,100.0,98.1,8,15,2,802,0,0,792,802,490,490,0,0,312,10
Donovan Jackson,145064,G,MIN,14,100.0,0,18,59.4,65.7,57.2,5,19,440,100.0,100.0,96.8,4,26,2,795,0,795,0,795,468,468,0,0,327,0
Mekhi Becton,59818,G,LAC,15,100.0,1,27,37.1,47.8,35.5,7,29,470,100.0,100.0,95.5,6,39,3,794,0,1,0,794,489,489,793,0,305,0
Cade Mays,81995,C,CAR,14,100.0,0,5,61.0,67.6,58.3,4,9,443,100.0,100.0,98.5,3,13,0,793,793,0,0,793,476,476,0,0,317,0
