player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Devontez Walker,145773,WR,BLT,1,0,3,0,0,0,0,0,0,,0,0,,0,0,0,0,100.0,1,1,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Donovan McMillon,146700,S,CLV,3,0,8,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
DeMarcco Hellams,98863,S,ATL,2,0,2,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,14.3,1,7,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Andrew Mukuba,144129,S,PHI,11,0,24,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,0.5,2,403,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Trevon Diggs,41817,CB,GB,10,0,12,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.4,1,266,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Jonathan Jones,11217,CB,WAS,11,0,32,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,0.8,2,257,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Damar Hamlin,43291,S,BUF,1,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,10.0,1,10,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jamin Davis,57905,LB,LV,2,0,23,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,1,8,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Cam Hart,102955,CB,LAC,17,0,27,1,2,0,1,1,0,66.7,2,2,50.0,0,0,0,0,0.7,3,413,3,50.0,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0,0
Dorian Strong,123366,CB,BUF,3,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,1,1,0,2.1,1,48,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,1,1
Benjamin Morrison,156968,CB,TB,10,0,30,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,2,234,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Mike Edwards,51282,S,KC,6,0,16,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,1.4,1,70,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Charvarius Ward,43034,CB,IND,7,0,14,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,268,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Maxwell Hairston,146746,CB,BUF,11,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.5,1,186,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
A.J. Terrell,55586,CB,ATL,15,0,2,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.2,1,551,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Chaz Chambliss,146728,ED,MIN,3,0,18,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,25.0,2,8,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Jalen Reeves-Maybin,11879,LB,CHI,1,0,6,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Pat Surtain II,83119,CB,DEN,16,0,10,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.2,1,599,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Austin Keys,124137,LB,ARZ,1,0,1,0,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,75.0,3,4,2,50.0,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Bryan Cook,55940,S,KC,17,0,16,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.2,1,481,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Rasheen Ali,121717,HB,BLT,1,0,3,0,1,0,0,0,0,,0,0,,0,0,0,1,100.0,1,1,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
D'Anthony Bell,111578,S,CAR,6,0,5,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,4.1,2,49,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kemon Hall,56123,CB,TEN,2,0,31,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,4.2,2,48,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jeremiah Trotter Jr.,144142,LB,PHI,4,0,24,2,1,0,1,0,0,33.3,1,1,50.0,0,0,0,0,12.1,4,33,3,37.5,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Rock Ya-Sin,49564,CB,DET,15,0,11,1,2,0,1,2,0,100.0,4,3,37.5,0,0,0,0,1.1,4,354,3,37.5,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Josh Jobe,83122,CB,SEA,18,0,29,1,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0.7,4,573,2,37.5,0,1,0,0,75.0,3,2,50.0,1,1,0,1,1,0
Dell Pettus,97290,S,NE,14,0,19,0,1,0,0,0,0,50.0,2,0,0.0,0,0,0,0,4.0,4,101,2,37.5,0,0,1,0,50.0,2,2,75.0,1,1,0,1,1,0
Jamel Dean,34918,CB,TB,14,0,30,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,4,421,2,37.5,0,1,0,0,100.0,4,2,37.5,1,1,0,1,1,0
Isaiah Stalbird,83325,LB,NO,10,0,20,1,3,0,0,2,0,63.6,7,3,28.6,1,1,0,3,25.6,11,43,6,36.4,0,1,1,3,36.4,4,3,50.0,1,1,0,2,2,0
Ar'Darius Washington,77848,S,BLT,4,0,3,2,0,0,1,0,0,33.3,2,2,75.0,1,1,0,0,12.2,6,49,3,33.3,0,1,0,0,66.7,4,1,12.5,0,0,0,1,1,0
Montaric Brown,55797,CB,JAX,15,0,15,0,2,0,0,2,1,100.0,3,2,33.3,0,0,0,1,0.6,3,504,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Noah Igbinoghene,61155,CB,WAS,12,0,32,1,1,0,1,1,0,100.0,3,2,33.3,0,0,0,0,1.3,3,225,2,33.3,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Quan Martin,83236,S,WAS,17,0,32,2,2,0,0,2,0,50.0,3,2,33.3,0,0,0,0,1.1,6,527,4,33.3,0,2,0,0,50.0,3,2,33.3,0,0,0,0,0,0
Ty Okada,56089,S,SEA,19,0,29,0,6,0,0,5,0,87.5,14,7,32.1,2,1,0,0,3.5,17,490,8,29.4,0,0,0,0,12.5,2,0,0.0,0,0,0,2,1,0
Amani Hooker,51378,S,TEN,16,0,31,0,6,0,0,5,0,92.9,13,6,26.9,1,1,0,0,2.7,14,517,7,28.6,0,0,1,0,7.1,1,1,50.0,0,0,0,1,1,0
Billy Bowman Jr.,144638,CB,ATL,6,0,2,0,3,0,0,1,0,69.2,9,3,27.8,2,2,0,0,7.0,13,187,5,26.9,0,0,2,0,30.8,4,2,25.0,0,0,0,2,2,0
