player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Keenan Allen,7857,WR,LAC,18,0,27,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Kyle Juszczyk,7912,FB,SF,19,0,28,61.2,,61.2,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Ameer Abdullah,9487,HB,IND,13,0,14,71.9,,73.2,19,0,81,0,0,563,29.6,0,0,0,0,0,0,0,,19
Stefon Diggs,9579,WR,NE,20,0,19,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Darren Waller,9637,TE,MIA,9,0,17,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Raheem Mostert,9783,HB,LV,12,0,23,78.8,,80.9,23,0,54,0,0,673,29.3,0,0,0,0,0,0,0,,23
DeAndre Carter,9859,WR,CLV,4,0,8,57.9,59.6,58.1,11,0,32,0,0,274,24.9,0,6,5,15,1,0,56,9.3,17
Austin Hooper,10715,TE,NE,19,0,19,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Chris Moore,10741,WR,WAS,14,0,32,64.4,,64.9,6,0,33,0,0,157,26.2,0,0,0,0,0,0,0,,6
Tyreek Hill,10799,WR,MIA,4,0,17,,61.6,61.3,0,0,0,0,0,0,,0,1,0,19,0,0,19,19.0,1
Kalif Raymond,11028,WR,DET,15,0,11,64.4,73.4,71.7,6,0,44,0,0,161,26.8,0,32,13,65,0,1,241,7.5,38
Curtis Samuel,11795,WR,BUF,7,0,4,58.5,,58.4,9,0,31,0,0,223,24.8,0,0,0,0,0,0,0,,9
Samaje Perine,11869,HB,CIN,15,0,7,72.0,,73.3,17,0,38,0,0,430,25.3,0,0,0,0,0,0,0,,17
Jeremy McNichols,11917,HB,WAS,17,0,32,55.8,,55.4,2,0,15,0,0,29,14.5,0,0,0,0,0,0,0,,2
Jamal Agnew,11920,WR,ATL,11,0,2,74.5,51.4,66.9,30,0,45,0,0,741,24.7,0,15,8,17,2,0,114,7.6,45
David Moore,11981,WR,CAR,4,0,5,,61.1,60.9,0,0,0,0,0,0,,0,1,1,0,0,0,0,0.0,1
Tremon Smith,28196,CB,HST,19,0,13,53.8,,53.1,18,0,37,0,0,435,24.2,2,0,0,0,0,0,0,,18
D'Wayne Eskridge,29573,WR,MIA,13,0,17,65.3,,65.9,28,0,54,0,0,726,25.9,1,0,0,0,0,0,0,,28
Britain Covey,32933,WR,PHI,7,0,24,57.6,71.3,66.1,7,0,31,0,0,186,26.6,0,11,10,22,1,0,124,11.3,18
Devin Duvernay,40006,WR,CHI,19,0,6,73.3,68.5,76.3,45,0,56,0,0,1207,26.8,0,27,18,37,1,0,328,12.1,72
Brittain Brown,40399,HB,CHI,3,0,6,59.9,,59.9,1,0,23,0,0,23,23.0,0,0,0,0,0,0,0,,1
Devin Singletary,40485,HB,NYG,17,0,21,69.0,,70.0,12,0,33,0,0,313,26.1,0,0,0,0,0,0,0,,12
Kene Nwangwu,40547,HB,NYJ,12,0,22,90.0,,90.6,18,0,99,0,1,604,33.6,0,0,0,0,0,0,0,,18
Miles Sanders,40555,HB,DAL,4,0,9,59.5,,59.4,3,0,24,0,0,68,22.7,0,0,0,0,0,0,0,,3
Velus Jones Jr.,40573,HB,SEA,9,0,29,60.9,,61.0,8,0,30,0,0,183,22.9,0,0,0,0,0,0,0,,8
Rico Dowdle,40693,HB,CAR,18,0,5,66.2,,66.8,8,0,30,0,0,197,24.6,0,0,0,0,0,0,0,,8
Khalil Herbert,41668,HB,NYJ,7,0,22,59.5,,59.4,1,0,22,0,0,22,22.0,0,0,0,0,0,0,0,,1
Greg Dortch,42237,WR,ARZ,12,0,1,75.1,79.0,83.7,30,0,39,0,0,796,26.5,0,16,5,40,0,0,185,11.6,46
Daniel Thomas,42544,S,DET,12,0,11,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Mecole Hardman Jr.,42683,WR,BUF,3,0,4,73.4,40.1,57.9,2,0,61,0,0,83,41.5,0,2,1,4,0,0,4,2.0,4
Avery Williams,42873,HB,NYJ,1,0,22,58.8,63.3,60.9,5,0,29,0,0,133,26.6,0,4,0,17,0,0,41,10.3,9
D'Ernest Johnson,45734,HB,NE,11,0,19,60.8,,60.8,9,0,32,0,0,234,26.0,0,0,0,0,0,0,0,,9
Ty Johnson,45769,HB,BUF,17,0,4,67.4,,68.2,11,0,31,0,0,240,21.8,1,0,0,0,0,0,0,,11
Trayveon Williams,45775,HB,CLV,7,0,8,54.5,,53.9,9,0,29,0,0,212,23.6,0,0,0,0,0,0,0,,9
Chase Edmonds,45851,HB,WAS,3,0,32,63.0,,63.4,11,0,29,0,0,242,22.0,0,0,0,0,0,0,0,,11
Justice Hill,45865,HB,BLT,10,0,3,58.7,,58.5,7,0,30,0,0,188,26.9,0,0,0,0,0,0,0,,7
Josh Jacobs,45953,HB,GB,16,0,12,46.3,,45.1,2,0,33,0,0,61,30.5,0,0,0,0,0,0,0,,2
Josh Oliver,47083,TE,MIN,15,0,18,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Dallas Goedert,47272,TE,PHI,16,0,24,67.4,,68.1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,2
