player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Matt Prater,3471,K,BUF,17,2,0,4,,73.9,,,9.8,,61.0,,,63.5,0,1,81,0,84,0,0,0,0
Nick Folk,3794,K,NYJ,16,0,0,22,,91.3,,,13.0,,60.7,,,62.7,0,0,52,0,30,0,0,0,1
Calais Campbell,4364,DI,ARZ,17,0,0,1,86.4,,63.3,,,,90.5,,,30.5,0,1,43,95,0,0,0,6,0
JJ Jansen,4712,LS,CAR,18,0,0,5,,,84.7,,,54.3,63.8,,,68.0,0,0,65,0,0,0,59,0,0
Thomas Morstead,5088,P,SF,19,0,0,28,,,63.2,,60.0,,63.7,,54.8,75.3,1,0,88,0,8,0,49,0,0
Graham Gano,5443,K,NYG,5,0,0,21,,68.0,,,48.3,,60.3,,,62.0,0,0,19,0,11,0,0,0,0
Brandon Graham,5538,ED,PHI,9,0,0,24,59.7,,,,,,61.9,,,67.7,0,0,0,30,0,0,0,5,0
Jon Weeks,5800,LS,SF,19,0,0,28,,,90.4,,,82.3,78.5,,,67.2,0,0,88,0,0,0,49,0,1
Morgan Cox,6020,LS,TEN,17,1,0,31,,,63.7,,,52.8,64.9,,,68.6,0,0,65,0,0,0,78,0,0
Von Miller,6154,ED,WAS,2,0,0,32,,,,,,,59.7,,,66.5,0,0,0,0,0,0,0,2,0
Cameron Jordan,6176,ED,NO,10,0,0,20,60.0,,,,,,61.9,,,70.9,0,0,0,40,0,0,0,0,0
Cameron Heyward,6183,DI,PIT,18,0,0,25,57.7,,62.8,,,,56.4,,,48.2,0,1,78,48,0,0,0,7,0
Nick Bellore,6515,LB,WAS,16,1,1,32,59.5,,,,,,80.2,,,61.9,3,1,0,78,71,91,54,43,10
Jake McQuaide,6586,LS,LA,12,0,0,26,,,51.4,,,11.6,43.1,,,29.1,1,1,67,0,0,0,41,0,0
Kevin Zeitler,7032,G,TEN,16,0,0,31,,,67.3,,,,64.2,,,75.7,0,0,55,0,0,0,0,0,0
Bobby Wagner,7050,LB,WAS,17,0,0,32,60.0,,,,,,61.3,,,66.2,0,0,0,85,0,1,0,2,0
Bryan Anger,7072,P,DAL,17,0,0,9,,,63.2,,,,63.8,,68.7,75.8,0,1,91,0,0,0,42,0,0
Demario Davis,7079,LB,NO,1,0,0,20,,,,,,,60.0,,,90.6,0,0,0,0,0,0,0,0,0
Kelvin Beachum,7229,T,ARZ,10,0,0,1,,,64.5,,,,62.9,,,72.8,0,0,41,0,0,0,0,0,0
