Rk	Player	School	Year	Pos	Pos Rk	HT	WT		
1	Fernando Mendoza	Indiana	Jr	QB	1	6-5	225	
2	Rueben Bain Jr.	Miami (Fla.)	Jr	EDGE	1	6-3	270	
3	Jordyn Tyson	Arizona St.	Jr	WR	1	6-2	200		
4	Carnell Tate	Ohio State	Jr	WR	2	6-3	195		
5	Arvell Reese	Ohio State	Jr	LB	1	6-4	243		
6	Spencer Fano	Utah	Jr	OT	1	6-6	308		
7	Caleb Downs	Ohio State	Jr	S	1	6-0	205		
8	Peter Woods	Clemson	Jr	DL	1	6-3	310		
9	Jermod McCoy	Tennessee	Jr	CB	1	6-0	193		
10	Jeremiyah Love	Notre Dame	Jr	RB	1	6-0	214		
11	Sonny Styles	Ohio State	Sr	LB	2	6-5	243		
12	Avieon Terrell	Clemson	Jr	CB	2	5-11	180		
13	Keldric Faulk	Auburn	Jr	EDGE	2	6-6	285	
14	Francis Mauigoa	Miami (Fla.)	Jr	OT	2	6-6	335		
15	Olaivavega Ioane	Penn State	Jr	IOL	1	6-4	323		
16	David Bailey	Texas Tech	Sr	EDGE	3	6-3	250		
17	T.J. Parker	Clemson	Jr	EDGE	4	6-3	260		
18	Makai Lemon	USC	Jr	WR	3	5-11	195		
19	Max Iheanachor	Arizona St.	Sr	OT	3	6-6	330		
20	Kadyn Proctor	Alabama	Jr	IOL	2	6-7	366		
21	KC Concepcion	Texas A&M	Jr	WR	4	5-11	190		
22	Kenyon Sadiq	Oregon	Jr	TE	1	6-3	245		
23	Monroe Freeling	Georgia	Jr	OT	4	6-7	315		
24	Mansoor Delane	LSU	Sr	CB	3	6-0	190		
25	Kayden McDonald	Ohio State	Jr	DL	2	6-3	326		
26	Jake Golday	Cincinnati	Sr	LB	3	6-4	240		
27	Caleb Lomu	Utah	Soph	OT	5	6-6	308		
28	Emmanuel Pregnon	Oregon	Sr	IOL	3	6-5	318		
29	Emmanuel McNeil-Warren	Toledo	Sr	S	2	6-2	202		
30	Omar Cooper Jr.	Indiana	Jr	WR	5	6-0	204		
31	Ahmad Moten Sr.	Miami (Fla.)	Jr	DL	3	6-3	300		
32	Cashius Howell	Texas A&M	Sr	EDGE	5	6-2	248		
33	Ty Simpson	Alabama	Jr	QB	2	6-2	208		
34	CJ Allen	Georgia	Jr	LB	4	6-1	235		
35	Keionte Scott	Miami (Fla.)	Sr	S	3	6-0	195		
36	Lee Hunter	Texas Tech	Sr	DL	4	6-4	330		
37	Denzel Boston	Washington	Jr	WR	6	6-4	210		
38	Chris Brazzell II	Tennessee	Jr	WR	7	6-5	200		
39	Christen Miller	Georgia	Jr	DL	5	6-4	310		
40	Malachi Lawrence	UCF	Sr	LB	5	6-4	260		
41	Anthony Hill Jr.	Texas	Jr	LB	6	6-3	238		
42	Akheem Mesidor	Miami (Fla.)	Sr	DL	6	6-3	265		
43	Austin Barber	Florida	Sr	OT	6	6-6	314		
44	Josiah Trotter	Missouri	Soph	LB	7	6-2	237		
45	Brandon Cisse	South Carolina	Jr	CB	4	6-0	190		
46	Romello Height	Texas Tech	Sr	LB	8	6-3	240		
47	Keith Abney II	Arizona St.	Jr	CB	5	6-0	190		
48	D'Angelo Ponds	Indiana	Jr	CB	6	5-9	173		
49	Caleb Tiernan	Northwestern	Sr	OT	7	6-7	325		
50	Connor Lew	Auburn	Jr	IOL	4	6-3	303		
51	Genesis Smith	Arizona	Jr	S	4	6-2	204		
52	Trey Zuhn III	Texas A&M	Sr	IOL	5	6-6	319		
53	Caden Curry	Ohio State	Sr	DE	1	6-3	260		
54	Chris Johnson	San Diego St.	Sr	CB	7	6-0	195		
55	Max Klare	Ohio State	Jr	TE	2	6-5	243		
56	Colton Hood	Tennessee	Soph	CB	8	6-0	195		
57	Julian Neal	Arkansas	Sr	CB	9	6-2	208		
58	Jaishawn Barham	Michigan	Sr	LB	9	6-3	243		
59	Jadarian Price	Notre Dame	Jr	RB	2	5-11	210		
60	Ja'Kobi Lane	USC	Jr	WR	8	6-4	200		
61	Brenen Thompson	Miss. State	Sr	WR	9	5-9	170		
62	Eli Stowers	Vanderbilt	Sr	TE	3	6-4	235		
63	Chris McClellan	Missouri	Sr	DL	7	6-4	323		
64	A.J. Haulcy	LSU	Sr	S	5	6-0	222		
65	Michael Trigg	Baylor	Sr	TE	4	6-4	240		
66	Keylan Rutledge	Georgia Tech	Sr	IOL	6	6-4	330		
67	Eric Rivers	Georgia Tech	Sr	WR	10	5-11	180		
68	Alex Harkey	Oregon	Sr	IOL	7	6-6	327		
69	Carter Smith	Indiana	Jr	IOL	8	6-5	313		
70	Chris Bell	Louisville	Sr	WR	11	6-2	220		
71	Jeff Caldwell	Cincinnati	Sr	WR	12	6-5	215		
72	Lance Mason	Wisconsin	Sr	TE	5	6-4	250		
73	Eric McAlister	TCU	Sr	WR	13	6-3	205		
74	Kage Casey	Boise St.	Jr	IOL	9	6-5	311		
75	Treydan Stukes	Arizona	Sr	CB	10	6-2	200		
76	Dillon Thieneman	Oregon	Soph	S	6	6-0	207		
77	R Mason Thomas	Oklahoma	Sr	DL	8	6-2	249		
78	Joshua Josephs	Tennessee	Sr	EDGE	6	6-3	240		
79	Isaiah World	Oregon	Sr	OT	8	6-8	318		
80	Germie Bernard	Alabama	Sr	WR	14	6-1	204		
81	Gennings Dunker	Iowa	Sr	IOL	10	6-5	315		
82	Carver Willis	Washington	Sr	IOL	11	6-5	312		
83	Chris Adams	Memphis	Sr	IOL	12	6-5	277		
84	Antonio Williams	Clemson	Jr	WR	15	5-11	190		
85	Brent Austin	California	Sr	CB	11	5-11	180		
86	Josh Cameron	Baylor	Sr	WR	16	6-1	224		
87	Anthony Lucas	USC	Sr	DE	2	6-5	285		
88	Domonique Orange	Iowa St.	Sr	DL	9	6-4	325		
89	Zachariah Branch	Georgia	Jr	WR	17	5-10	180		
90	Keyron Crawford	Auburn	Sr	LB	10	6-4	255		
91	Jude Bowry	Boston College	Jr	OT	9	6-5	311		
92	Jack Endries	Texas	Jr	TE	6	6-4	236		
93	Dontay Corleone	Cincinnati	Sr	DL	10	6-1	335		
94	Ethan Burke	Texas	Sr	LB	11	6-6	259		
