Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"1","ED","Rueben Bain Jr.","Miami (FL) Hurricanes","93.1","0.493","","","Not Scored"
"2","S","Caleb Downs","Ohio State Buckeyes","87.6","0.445","","","Not Scored"
"3","CB","Jermod McCoy","Tennessee Volunteers","N/A","N/A","","","Not Scored"
"4","G","Charles Jagusah","Notre Dame Fighting Irish","N/A","N/A","","","Not Scored"
"5","S","Terry Moore","Duke Blue Devils","N/A","N/A","","","Not Scored"
"6","CB","Daniel Harris","Marshall Thundering Herd","N/A","N/A","","","Not Scored"
"7","HB","Jaydn Ott","Oklahoma Sooners","53.1","-0.033","","","Not Scored"
"8","CB","Jeadyn Lukus","Clemson Tigers","53.9","-0.081","","","Not Scored"
"9","CB","Christian Gray","Notre Dame Fighting Irish","54.2","-0.138","","","Not Scored"
"10","TE","John Michael Gyllenborg","Wyoming Cowboys","54.4","-0.057","","","Not Scored"
"11","CB","DJ Harvey","USC Trojans","54.6","-0.049","","","Not Scored"
"12","G","Roderick Kearney","Florida Gators","55.1","-0.020","","","Not Scored"
"13","S","Jordan Castell","Florida Gators","55.3","-0.083","","","Not Scored"
"14","DI","James Smith","Alabama Crimson Tide","55.6","-0.056","","","Not Scored"
"15","T","Xavier Chaplin","Auburn Tigers","56.6","0.010","","","Not Scored"
"16","WR","Eugene Wilson III","Florida Gators","56.9","-0.048","","","Not Scored"
"17","WR","Jaden Greathouse","Notre Dame Fighting Irish","57.8","-0.001","","","Not Scored"
"18","DI","Keeshawn Silver","USC Trojans","57.8","-0.068","","","Not Scored"
"19","WR","Nic Anderson","LSU Tigers","58.1","-0.009","","","Not Scored"
"20","ED","Vincent Anthony Jr.","Duke Blue Devils","58.2","-0.072","","","Not Scored"
"21","G","Ethan Onianwa","Ohio State Buckeyes","58.2","-0.019","","","Not Scored"
"22","TE","Joe Royer","Cincinnati Bearcats","58.5","0.073","","","Not Scored"
"23","QB","Eli Holstein","Pittsburgh Panthers","58.7","-0.165","","","Not Scored"
"24","WR","Noah Thomas","Georgia Bulldogs","58.8","-0.038","","","Not Scored"
"25","S","Robert Spears-Jennings","Oklahoma Sooners","58.9","-0.115","","","Not Scored"
"26","TE","Lawson Luckie","Georgia Bulldogs","59.3","0.037","","","Not Scored"
"27","T","Tree Babalade","South Carolina Gamecocks","60.1","-0.019","","","Not Scored"
